max_d,max_p,months_since,sizerank,state
"20090601T000000",90500,76,3595,LA
"20070401T000000",265200,50,3596,PA
"20060801T000000",96200,42,3597,TN
"20071001T000000",214200,56,3598,PA
"20061101T000000",245200,45,3599,PA
,nan,nan,3600,MI
"20080801T000000",98800,66,3601,OK
"20051201T000000",180600,34,3602,MI
"20070401T000000",892700,50,3603,IL
"20071001T000000",177200,56,3604,MO
"20060401T000000",249400,38,3605,PA
"20080701T000000",134400,65,3606,AL
"20071101T000000",146900,57,3607,TX
"20090701T000000",183800,77,3608,MT
"20060801T000000",329700,42,3609,NJ
"20070901T000000",171200,55,3610,VA
"20070701T000000",375000,53,3611,NJ
"20060901T000000",242700,43,3612,VA
"20050501T000000",203400,27,3613,MI
"20060901T000000",853800,43,3614,NY
"20051001T000000",307100,32,3615,VT
"20051101T000000",317200,34,3616,VT
"20071201T000000",79900,58,3617,PA
"20070201T000000",293800,49,3618,AZ
"20051201T000000",577900,34,3619,MA
"20090101T000000",70400,72,3620,PA
"20071101T000000",147200,57,3621,LA
"20071101T000000",182700,57,3622,PA
"20070601T000000",475200,52,3623,WA
"20060701T000000",352400,41,3624,RI
"20070901T000000",166600,55,3625,PA
"20060501T000000",406700,39,3626,PA
,nan,nan,3627,LA
"20090701T000000",208200,77,3628,LA
"20060801T000000",312700,42,3629,NJ
"20060401T000000",325800,38,3630,AL
,nan,nan,3631,TX
"20061201T000000",69800,46,3632,OH
"20060501T000000",886900,39,3633,HI
"20050901T000000",304800,32,3634,MA
"20050501T000000",191400,27,3635,MI
"20071201T000000",78200,58,3636,PA
"20080301T000000",125000,61,3637,AL
"20070701T000000",217800,53,3638,WA
"20051001T000000",128500,32,3639,OH
"20070801T000000",316600,54,3640,WA
"20080101T000000",321800,59,3641,UT
"20070101T000000",345500,48,3642,CA
"20080201T000000",156500,61,3643,FL
"20070301T000000",251600,49,3644,CO
"20081101T000000",96500,70,3645,OK
,nan,nan,3646,CO
"20061101T000000",195600,45,3647,GA
"20070301T000000",287600,49,3648,MN
"20070701T000000",91500,53,3649,PA
"20061101T000000",289100,45,3650,CT
"20070901T000000",126900,55,3651,SC
"20090701T000000",88000,77,3652,PA
"20060801T000000",279400,42,3653,MD
"20080201T000000",129200,61,3654,OH
"20080201T000000",166900,61,3655,MS
"20060501T000000",179200,39,3656,FL
"20080301T000000",140200,61,3657,NC
"20060201T000000",69800,37,3658,MO
"20050801T000000",80700,30,3659,NC
"20051101T000000",151100,34,3660,CA
"20050801T000000",215800,30,3661,MI
,nan,nan,3662,TX
"20080401T000000",107300,62,3663,PA
"20070901T000000",150900,55,3664,CA
"20060301T000000",374000,37,3665,MA
"20050701T000000",165400,29,3666,KY
"20060801T000000",317400,42,3667,CT
"20051101T000000",401800,34,3668,MA
"20061201T000000",323400,46,3669,NY
"20060901T000000",516900,43,3670,CA
"20080601T000000",164900,64,3671,TN
"20071001T000000",134800,56,3672,NY
"20061201T000000",128100,46,3673,PA
,nan,nan,3674,PA
"20090601T000000",98000,76,3675,MS
"20070201T000000",995300,49,3676,CT
"20050501T000000",368800,27,3677,MA
"20050901T000000",576000,32,3678,VA
"20070401T000000",325400,50,3679,MD
"20070501T000000",688500,51,3680,MO
"20070901T000000",234200,55,3681,WI
"20071001T000000",103700,56,3682,TN
"20070301T000000",818900,49,3683,NJ
"20060301T000000",586400,37,3684,NJ
"20080101T000000",382200,59,3685,NY
"20060201T000000",260600,37,3686,MA
"20050301T000000",106100,25,3687,IN
"20060301T000000",136700,37,3688,MI
"20051201T000000",88600,34,3689,IN
"20080201T000000",116800,61,3690,NY
"20070601T000000",291000,52,3691,NJ
"20090701T000000",139800,77,3692,NY
"20060701T000000",655500,41,3693,NJ
"20080301T000000",116700,61,3694,GA
"20090701T000000",296200,77,3695,TX
"20070801T000000",179900,54,3696,NJ
"20080901T000000",182300,68,3697,PA
"20060401T000000",321600,38,3698,RI
"20060601T000000",254900,40,3699,FL
"20070501T000000",254400,51,3700,AZ
"20060601T000000",420600,40,3701,MD
